Title,Location,Company,Salary,Rating,Summary,Description
Estágio em Marketing Digitalnova,"São Paulo, SP",FUNDAMENTO GRUPO DE COMUNICAÇÃO,R$ 1.045 - R$ 1.500 por mês,None,"Atividades: Atuação em projetos de SEO, marketing de conteúdo, inbound marketing, gestão de redes sociais e mídia; Execução e estratégias de SEO, através da criação de conteúdos, definição e análise…",None
K.E. - Estágio - Auxiliar de Design de Interiores,"Guarulhos, SP",Inter Estágios,R$ 860 por mês,None,"Descrição da vaga: A K.E. surgiu no mercado com a proposta de levar aos laboratórios de prótese dentária de todo o país o melhor em design e qualidade. Presente nos melhores laboratórios do Brasil,…",None
Estágio em Criação e Marketing,"São Paulo, SP",Eurobike,None,"4,2","Estar cursando graduação em Design, Artes Visuais, Publicidade, Marketing com disponibilidade para 1 ano e meio de estágio das 8h00 às 15h00.Auxílio na produção de Peças Publicitárias Estáticas …",None
Estágio em Marketing | Trabalho Remoto,"São Paulo, SP",Alest Consultoria,R$ 900 por mês,"3,6","Resiliência para lidar com situações adversas;Proativo(a), para atuar em um time dinâmico e ágil;Facilidade para se adaptar a mudanças;Auxiliar no gerenciamento de mídias sociais;",None
Estágio | Estilo,"São Paulo, SP",ETNA,None,"3,9",Quer fazer parte de uma das maiores e melhores empresas de móveis e decoração? Nossa equipe se dedica todos os dias para ENCANTAR nossos clientes com SOLUÇÕES e PRODUTOS DE DESIGN ao alcance de todos…,None
Design Gráfico,"São Paulo, SP",Divulga Vagas,R$ 999 por mês,None,"Local: Ibirapuera - Zona Sul (São Paulo) 998,51 Cursando Design Gráfico do 3° até o 5° Semestre;Conhecimento em Informática (Excel, Word, Internet);Conhecimentos básicos de diagramação (In Design),…",None
Estágio em Desenvolvimento,"São Paulo, SP",Cappta,None,"3,4","Somos pessoas preocupadas em criar software com um bom design e aprender a melhor forma de executar qualquer tarefa, guiados por boas práticas de desenvolvimento de software, como Clean Code, Code…",None
Estágio - Web Designer,"Barueri, SP",Agência vm2,None,"3,0","Atuar no apoio na criação de interfaces Web, manutenção de sites, portais e lojas virtuais, e-mail marketing, tratamento de imagens e banners.",None
Auxiliar de Designernova,"Barueri, SP",Grupo Desafio RH,R$ 1.024 por mês,None,"Estágio - Alphaville Industrial, Barueri - SP, Brasil - Salário R$ 1.024,00 + VT + Seg. de Vida | Cursando Marketing | Horário: 6hrs de trabalho com descanso para almoço | Atividades: Irá realizar…",None
Estágio de Marketing em Supermercado (Zona Norte,"São Paulo, SP",CHECKOUT RH,None,"4,2",Principais atividades à serem desenvolvidas no estágio: Desenvolvimento de mídias sociais Gerenciamento da marca Produção de arte para as ofertas digitais Produção de vídeos para publicidade. Ano…,None
Estagiário Estágio de Marketing Dinova,"São Paulo, SP",SAEE Estágios,None,None,"Auxiliar no planejamento, execução e monitoramento das campanhas no Google Ads e Facebook Ads.",None
Design Gráfico,"São Paulo, SP",Divulga Vagas,R$ 999 por mês,None,"Local: Ibirapuera - Zona Sul (São Paulo) 998,51 Cursando Design Gráfico do 3° até o 5° Semestre;Conhecimento em Informática (Excel, Word, Internet);Conhecimentos básicos de diagramação (In Design),…",None
Estágio | Estilo,"São Paulo, SP",ETNA,None,"3,9",Quer fazer parte de uma das maiores e melhores empresas de móveis e decoração? Nossa equipe se dedica todos os dias para ENCANTAR nossos clientes com SOLUÇÕES e PRODUTOS DE DESIGN ao alcance de todos…,None
Estágio - Web Designer,"Barueri, SP",Agência vm2,None,"3,0","Atuar no apoio na criação de interfaces Web, manutenção de sites, portais e lojas virtuais, e-mail marketing, tratamento de imagens e banners.",None
2836 - Designer,"São Paulo, SP",GLOBAL HITSS,None,"3,5",Experiência de atuação em projetos de design digital.Experiência em ferramentas de design como Adobe Photoshop e Illustrator;,None
Estágio Design - SÃO PAULO,"São Paulo, SP",Divulga Vagas,None,None,"Auxiliar a área na produção de materiais gráficos em geral e de diversos tipos tanto impressos quanto digitais; Desenvolver materiais para eventos, auxiliando na produção gráfica para mídias sociais…",None
2930 - Designer UX Writer,"São Paulo, SP",GLOBAL HITSS,None,"3,5","Conhecimento nas disciplinas de design, tais como - Design Thinking, UX Writing, UX Reaserch e Usabilidade;Inglês intermediário (leitura e escrita de e-mails);",None
Estágio em Inside Sales (SDR),"São Paulo, SP",FUNDAMENTO GRUPO DE COMUNICAÇÃO,R$ 1.500 por mês,None,"Requisitos Cursando Publicidade e propaganda, Marketing, Relações Públicas, Comunicação Social ou Administração; Pacote Office, em especial PowerPoint; Inglês Fluente; Atitude, organização,…",None
"Estágio em Publicidade, Marketing, Design, Jornalismo - PREV...","São Paulo, SP",Instituto Via de Acesso,R$ 30 por dia,"3,4","Cursando Publicidade e Propaganda, Marketing, Design e Jornalismo com formação acadêmica prevista entre 12/2022 e 12/2023;Pacote office e adobe, Intermediários.Suporte ao departamento de Marketing;",None
Estágio Audio Visual - Edição/produção de vídeo,"São Paulo, SP",Amplifica Digital,None,None,"Edição de vídeos utilizando softwares como Adobe Premiere, Final Cut, Adobe Audition e outros programas de edição de vídeo relacionados.",None
Estágio de Recrutamento e Seleção,"São Paulo, SP",Indra,None,"3,8","Java, Angular, Service Now, Arquitetos, Fullstack, DevOps, Designer UX/UI, Analistas de Infraestrutura, Integração HUB, Phyton, Mobile, Power Center, Agile, Testes, Mainframe, Scrum e Oracle.",None
2935 - Designer UI/UX,"São Paulo, SP",GLOBAL HITSS,None,"3,5","Domínio de ferramentas de prototipação (Adobe XD, Sketch e Invision);Domínio na utilização de Design System ou outros modelos de componentização para interfaces mobile.",None
Programa de Estágio Tech - Software Developer Intern,"São Paulo, SP",Amzn Servicos de Varejo do Bra,None,"3,5","Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving, and complexity analysis.",None
ESTÁGIO EM WEB DESIGNER,"Guarulhos, SP",Divulga Vagas,R$ 1.000 por mês,None,"Criar protótipos do front-end para novos produtos.Cursando Ensino Superior ou técnico em Web Designer, Design, Comunicação Visual, Publicidade, Marketing ou áreas afins;",None
"Estágio em Publicidade, Marketing, Design, Jornalismo - PREV...","São Paulo, SP",Instituto Via de Acesso,R$ 30 por dia,"3,4","Cursando Publicidade e Propaganda, Marketing, Design e Jornalismo com formação acadêmica prevista entre 12/2022 e 12/2023;Pacote office e adobe, Intermediários.Suporte ao departamento de Marketing;",None
Product Designer UI/UX SR,"São Paulo, SP",PRONTMED,None,None,"Seu foco será criar experiências significativas por meio do design de interface em tudo o que fala sobre nós de modo visual (Plataforma, APP, Site, etc.), projetando e implementando interfaces que…",None
Mídia Online - Assistente e Estágio,"Barueri, SP",Agência vm2,None,"3,0","Descrição da vaga Criar, planejar, comprar, implantar, estudar métricas e ROI, campanhas de mídia online. Estar cursando oujá formado em Marketing, Publicidade, Design Digital e afins.…",None
Estágio em Design Gráfico,"São Paulo, SP",Amplifica Digital,None,None,Desenvolvimento visual de games (dos cenários até os personagens);,None
Estágio de Marketing,"São Bernardo do Campo, SP",Canaltech,None,None,"Reportando ao time de marketing do Canaltech, e com o suporte dos times de redação, design e vídeo, o estagiário irá auxiliar na criação de peças publicitárias para o site, canal do Youtube e mídias…",None
