Title,Location,Company,Salary,Rating,Summary,Description
Analista de Marketing - Trade/PDV,"Porto Alegre, RS",Lojas Renner,None,"4,2","Atuação em projetos especiais que envolvam ambientes de loja e customer experience, responsável pela atualização e manutenção dos enxovais de comunicação de…",None
ANALISTA DE ATRAÇÃO E SELEÇÃO PL,"Rio de Janeiro, RJ",YDUQS,None,None,"Participação em projetos realizados na área de atração & seleção tais como Projeto Docentes, Trainees, experiência do colaborador entre outros.",None
Analista de Sustentabilidade Sênior,Brasil,Petra Executive Search,None,None,Envie o currículo apenas no site petra-group.com.br/vagas Desafios e responsabilidades: o principal desafio da posição será atuar como key user do projeto que…,None
Analista Produto IInova,"São Paulo, SP",Grupo Boticário,None,"4,4","Ensino superior completo em Administração, Publicidade e Propaganda, Comunicação, Design e afins.Candidato, toda nossa comunicação com você é via e-mail ou por…",None
Analista de Excelência Operacional Sênior,"São Paulo, SP",ESTAPAR,None,"4,0",Os tornamos líder da América Latina e essa posição só foi conquistada porque nosso time manteve a mesma energia.,None
ANALISTA DE DESIGN PLENO,"São Paulo, SP",GRUPO MALWEE,None,"4,2","Com sustentabilidade, qualidade e respeito às pessoas e ao planeta.Vivência na área da moda ou similares.30% de desconto na compra de coleções (ecommerce).",None
Seara | Analista de Trade Marketing Jr. - São Paulo,"São Paulo, SP",JBS,None,"3,9","Elaboração e gestão de comunicados para o time comercial e Newsletter mensal;Conhecimento com APP Agile , Trade Forc etc;",None
Analista Expansão Offline PL (Fortaleza - CE)nova,"Fortaleza, CE",MadeiraMadeira,None,"3,3","Facilidade em apresentação do material levantado .Desenvoltura em comunicação oral e escrita, relacionamento social e interpessoal;",None
Analista Fiscal JR - Diretos,"Curitiba, PR",MadeiraMadeira,None,"3,3","Dar o suporte técnico fiscal nos processos à equipe fiscal e aos clientes internos e externos;Obrigações acessórias (EFD Contribuições, DCTF, REINF, DIRF, etc)…",None
ANALISTA MARKETING PL,"Santo André, SP",CVC Corp,None,"4,5","Desenvolver estratégias de marketing focadas no crescimento do negócio, planejamento e coordenação do calendário promocional, sempre com foco no cliente …",None
Analista da Qualidade Atendimento CX,"Curitiba, PR",MadeiraMadeira,None,"3,3",Gestão da ferramenta de Qualidade (Callminer).Auxiliar a tomada de decisão no dia a dia com informações oriundas de estudos e das monitorias;,None
Analista de Atendimento JR,"Curitiba, PR",MadeiraMadeira,None,"3,3",Vending machines para comprar aquele snack.,None
Analista de Saúde e Segurança do Trabalho,"São José dos Pinhais, PR",PIZZATTOLOG,None,None,"Controlar os estoques de uniformes, EPI´S, bem como distribui-los de acordo com o agente nocivo para todos os colaboradores;",None
Analista de Responsabilidade Socialnova,"Blumenau, SC",OEmprego,None,None,"Participar no planejamento de programas, projetos e campanhas de responsabilidade social; Elaborar relatórios, analisando os indicadores de sustentabilidade;…",None
Analista de Service Desk JR,"Curitiba, PR",MadeiraMadeira,None,"3,3","Conhecimentos de Jira Service Desk.Durante a pandemia, trabalho remoto.Temos DOIS Pokéstops no prédio.Vale Refeição + Vale Alimentação.",None
Analista de Inovação de Produto III (Gifts),"São José dos Pinhais, PR",Grupo Boticário,None,"4,4","Graduação ou especialização em ADM, MKT, Comunicação, Design;Candidato, toda nossa comunicação com você é via e-mail ou por telefone.",None
Analista de Pós Contratação (InvestMais),"São Paulo, SP",Loft,None,None,Tem conhecimento sobre o mercado de crédito imobiliário;,None
Analista de Documentação (InvestMais),"São Paulo, SP",Loft,None,None,Tem conhecimento sobre o mercado de crédito imobiliário;,None
